Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,infra_tipo,infra_descripcion,infra_interes,infra_senalizacion_externa,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,85213,4,false,false,,OJGIM0086,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recreativa Los Nogales,false,false,POINT (-3.665341804819468 43.034536196582245)
,,,,,,-1,-1,-1,,,85214,4,false,false,,OJGIM0087,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,14,Equipamiento del área recreativa Los Nogales,false,false,POINT (-3.665353495727798 43.034482099242055)
,,,,,,-1,-1,-1,,,85215,4,false,false,,OJGIM0088,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,14,Equipamiento del área recreativa Los Nogales,false,false,POINT (-3.665452957256316 43.034598584577552)
,,,,,,-1,-1,-1,,,85216,4,false,false,,OJGIM0089,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,14,Equipamiento del área recreativa Los Nogales,false,false,POINT (-3.665477798372532 43.034625454814886)
,,,,,,-1,-1,-1,,,85218,4,false,false,,OJGIM0091,Barrera de madera para impedir el paso de vehículos a la zona de área recreativa.,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,16,Equipamiento del área recreativa Los Nogales,false,false,POINT (-3.665828302157048 43.035253758720799)
,,,,,,-1,-1,-1,,,85219,4,false,false,,OJGIM0092,Cerramiento de madera separando area recreativa de zonas de pendiente grande.,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,17,Equipamiento del área recreativa Los Nogales,false,false,POINT (-3.664772382916654 43.035232882553935)
,,,,,,-1,-1,-1,,,85220,4,false,false,,OJGIM0093,Falta una tabla.,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,3,46,Equipamiento del área recreativa La Parte de Sotoscueva,false,false,POINT (-3.701880427720741 43.042701482573179)
,,,,,,-1,-1,-1,,,85221,4,false,false,,OJGIM0094,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recreativa La Parte de Sotoscueva,false,false,POINT (-3.701831220554846 43.042692779482636)
,,,,,,-1,-1,-1,,,85222,4,false,false,,OJGIM0095,"Cerramiento de madera que separa area recreativa de carretera. Algo deteriorada, falta algún larguero.",2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,3,17,Equipamiento del área recreativa La Parte de Sotoscueva,false,false,POINT (-3.701831220554846 43.042692779482636)
,,,,,,-1,-1,-1,,,85166,4,false,false,,OJGIM0005,Paso de personas formado por tres postes.,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,2,,false,false,POINT (-3.716500467240494 42.993993352715414)
,,,,,,-1,-1,-1,,,85223,4,false,false,,OJGIM0096,Anclaje al suelo desplazado con la estructura algo descuadrada.,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,3,46,Equipamiento del área recrativa de Vallejo de Sotoscueva,false,false,POINT (-3.693613506161546 43.044480823144283)
,,,,,,-1,-1,-1,,,85224,4,false,false,,OJGIM0097,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recrativa de Vallejo de Sotoscueva,false,false,POINT (-3.693589358927043 43.044516989001721)
,,,,,,-1,-1,-1,,,85225,4,false,false,,OJGIM0098,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,17,Equipamiento del área recrativa de Vallejo de Sotoscueva,false,false,POINT (-3.693613506161546 43.044480823144283)
